gene chr start
15134 PSTK chr10 124739555
15135 IKZF5 chr10 124768203
15136 HMX3 chr10 124895566
15137 HMX2 chr10 124907637
15138 BUB3 chr10 124913759
15139 NKX1-2 chr10 126138550
15140 FAM53B-AS1 chr10 126392596
15141 METTL10 chr10 126480510
15142 FAM175B chr10 126490353
15143 ZRANB1 chr10 126630691
15144 MIR4296 chr10 126721439
15145 TEX36-AS1 chr10 127262939
15146 LOC283038 chr10 127371811
15147 EDRF1 chr10 127408083
15148 EDRF1-AS1 chr10 127440629
15149 MMP21 chr10 127464390
15150 UROS chr10 127511837
15151 MIR4484 chr10 127508308
15152 FANK1-AS1 chr10 127661842
15153 LINC00601 chr10 128110448
15154 NPS chr10 129347612
15155 FOXI2 chr10 129535537
15156 CLRN3 chr10 129691211
15157 AS-PTPRE chr10 129860689
15158 MKI67 chr10 129924468
15159 LINC01163 chr10 130084213
15160 MIR4297 chr10 131641638
15161 LINC00959 chr10 131909081
15162 CTAGE7P chr10 131904272
15163 GLRX3 chr10 131934638
15164 MIR378C chr10 132760931
15165 TCERG1L-AS1 chr10 132893480
15166 LINC01164 chr10 133622535
15167 PPP2R2D chr10 133747954
15168 BNIP3 chr10 133795517
15169 DPYSL4 chr10 134000413
15170 LRRC27 chr10 134145613
15171 C10orf91 chr10 134258713
15172 NKX6-2 chr10 134599537
15173 LINC01166 chr10 134760800
15174 LINC01167 chr10 134775741
15175 LINC01168 chr10 134779037
15176 ADGRA1-AS1 chr10 134900201
15177 ADGRA1 chr10 134901507
15178 UTF1 chr10 135043777
15179 VENTX chr10 135051407
15180 MIR202HG chr10 135061389
15181 MIR202 chr10 135061124
15182 ADAM8 chr10 135090407
15183 TUBGCP2 chr10 135122660
15184 ZNF511 chr10 135122392
15185 CALY chr10 135150487
15186 PRAP1 chr10 135160843
15187 FUOM chr10 135171529
15188 ECHS1 chr10 135186908
15189 MIR3944 chr10 135185167
15190 PAOX chr10 135192740
15191 MTG1 chr10 135207620
15192 SPRN chr10 135238121
15193 SCART1 chr10 135267431
15194 CYP2E1 chr10 135340866
15195 SYCE1 chr10 135379138
15196 SPRNP1 chr10 135383462
15197 FRG2B chr10 135440299
15198 LOC100130987 chr11 67085309
15199 GLB1L2 chr11 134201767
15200 C11orf58 chr11 16760147
15201 GLYATL1 chr11 58695101
15202 LOC283194 chr11 58825925
15203 DGAT2 chr11 75479777
15204 DLG2 chr11 83984323
15205 FAT3 chr11 92085261
15206 ARHGAP42 chr11 100558406
15207 DSCAML1 chr11 117667976
15208 CDON chr11 125933187
15209 OSBPL5 chr11 3186582
15210 CCKBR chr11 6280903
15211 SYT9 chr11 7273180
15212 IPO7 chr11 9406168
15213 AMPD3 chr11 10471867
15214 GALNT18 chr11 11643561
15215 PDE3B chr11 14665268
15216 SERGEF chr11 18034709
15217 NAV2 chr11 19372270
15218 NELL1 chr11 20691096
15219 ANO3 chr11 26210669
15220 METTL15 chr11 28129797
15221 MPPED2 chr11 30607930
15222 IMMP1L chr11 31531175
15223 LRRC4C chr11 41481186
15224 PHF21A chr11 46142985
15225 C11orf49 chr11 46958239
15226 ARFGAP2 chr11 47198676
15227 LOC101927120 chr11 56615953
15228 STIP1 chr11 63952743
15229 TMEM151A chr11 66059372
15230 LRP5 chr11 68080076
15231 CTTN chr11 70244611
15232 PDE2A chr11 72353504
15233 RAB6A chr11 73471138
15234 AAMDC chr11 77532159
15235 INTS4 chr11 77705717
15236 TENM4 chr11 79151695
15237 MIR4300HG chr11 82114955
15238 EED chr11 85955425
15239 TMEM135 chr11 86748885
15240 NOX4 chr11 89223909
15241 DISC1FP1 chr11 89984399
15242 LOC105369438 chr11 94473521
15243 CNTN5 chr11 98891705
15244 PDGFD chr11 104035027
15245 ACAT1 chr11 107992257
15246 RDX chr11 110167437
15247 C11orf53 chr11 111126706
15248 LOC283140 chr11 112141471
15249 CADM1 chr11 115375241
15250 PHLDB1 chr11 118477212
15251 NECTIN1 chr11 119599435
15252 GRIK4 chr11 120382454
15253 UBASH3B chr11 122526397
15254 ARHGAP32 chr11 129062093
15255 NTM chr11 131240370
15256 OPCML chr11 133402507
15257 LINC01001 chr11 131920
15258 PKP3 chr11 392598
15259 DEAF1 chr11 695754
15260 MUC5AC chr11 1151579
15261 TOLLIP chr11 1324020
15262 BRSK2 chr11 1411128
15263 CD81-AS1 chr11 2399222
15264 KCNQ1 chr11 2466220
15265 TSSC2 chr11 3402190
15266 LOC101927708 chr11 3593217
15267 ART1 chr11 3666360
15268 NUP98 chr11 3819022
15269 STIM1 chr11 3876932
15270 OR51E2 chr11 4719076
15271 OR51B5 chr11 5526882
15272 TRIM6-TRIM34 chr11 5617864
15273 APBB1 chr11 6425921
15274 DNHD1 chr11 6518525
15275 NLRP14 chr11 7041699
15276 LOC100506258 chr11 7487066
15277 PPFIBP2 chr11 7534995
15278 TUB chr11 8060179
15279 RIC3 chr11 8190641
15280 LMO1 chr11 8285425
15281 STK33 chr11 8615555
15282 TRIM66 chr11 8680383
15283 ST5 chr11 8832224
15284 SCUBE2 chr11 9113150
15285 DENND5A chr11 9286873
15286 TMEM41B chr11 9336315
15287 SWAP70 chr11 9685623
15288 SBF2-AS1 chr11 9779839
15289 SBF2 chr11 10315754
15290 CAND1.11 chr11 10329859
15291 MRVI1-AS1 chr11 10562782
15292 MRVI1 chr11 10673848
15293 ZBED5 chr11 10879620
15294 USP47 chr11 11862969
15295 LOC105376554 chr11 12052421
15296 MICAL2 chr11 12132122
15297 MICALCL chr11 12308446
15298 PARVA chr11 12399025
15299 TEAD1 chr11 12695968
15300 ARNTL chr11 13299273
15301 SPON1 chr11 13984183
15302 PSMA1 chr11 14665180
15303 INSC chr11 15133969
15304 SOX6 chr11 16424413
15305 PLEKHA7 chr11 17035963
15306 PIK3C2A chr11 17229543
15307 NUCB2 chr11 17298264
15308 ABCC8 chr11 17498392
15309 USH1C chr11 17565963
15310 GTF2H1 chr11 18343815
15311 LDHAL6A chr11 18477373
15312 IGSF22 chr11 18747777
15313 PRMT3 chr11 20409075
15314 ANO5 chr11 22214721
15315 GAS2 chr11 22688159
15316 LUZP2 chr11 24518515
15317 SLC5A12 chr11 26743574
15318 BBOX1 chr11 27062508
15319 BBOX1-AS1 chr11 27240315
15320 LGR4 chr11 27494322
15321 LIN7C chr11 27528326
15322 BDNF-AS chr11 27528398
15323 KIF18A chr11 28129746
15324 DCDC5 chr11 31014233
15325 DCDC1 chr11 31391357
15326 ELP4 chr11 31531275
15327 DKFZp686K1684 chr11 31838113
15328 PAUPAR chr11 31848113
15329 RCN1 chr11 32112476
15330 CCDC73 chr11 32816204
15331 CSTF3 chr11 33183037
15332 HIPK3 chr11 33278217
15333 KIAA1549L chr11 33563876
15334 CAPRIN1 chr11 34073229
15335 ABTB2 chr11 34379555
15336 CAT chr11 34460471
15337 PDHX chr11 34937676
15338 SLC1A2 chr11 35441105
15339 PAMR1 chr11 35547579
15340 TRIM44 chr11 35684299
15341 LDLRAD3 chr11 35965530
15342 COMMD9 chr11 36310999
15343 PRR5L chr11 36317724
15344 LOC103312105 chr11 38667906
15345 LINC01499 chr11 41736117
15346 LOC101928591 chr11 42107008
15347 TTC17 chr11 43380434
15348 HSD17B12 chr11 43702142
15349 ALKBH3 chr11 43902356
15350 EXT2 chr11 44117098
15351 ALX4 chr11 44331716
15352 TSPAN18 chr11 44785975
15353 TP53I11 chr11 44971759
15354 PRDM11 chr11 45115563
15355 LOC100507384 chr11 45743857
15356 CRY2 chr11 45868668
15357 DGKZ chr11 46354454
15358 AMBRA1 chr11 46612914
15359 ATG13 chr11 46638825
15360 CKAP5 chr11 46867859
15361 LRP4 chr11 46940173
15362 MADD chr11 47290926
15363 AGBL2 chr11 47736928
15364 NUP160 chr11 47870096
15365 PTPRJ chr11 48002109
15366 LOC440040 chr11 49580079
15367 PRG3 chr11 57148623
15368 SLC43A1 chr11 57282358
15369 TMX2-CTNND1 chr11 57479994
15370 CTNND1 chr11 57529233
15371 OR9Q1 chr11 57791352
15372 LPXN chr11 58343390
15373 OSBP chr11 59383617
15374 MS4A7 chr11 60145957
15375 MS4A13 chr11 60282885
15376 LINC00301 chr11 60383223
15377 MS4A10 chr11 60552820
15378 TMEM109 chr11 60681370
15379 DDB1 chr11 61100684
15380 SDHAF2 chr11 61197596
15381 SYT7 chr11 61348344
15382 DAGLA chr11 61447904
15383 FADS2 chr11 61583674
15384 FTH1 chr11 61735132
15385 ASRGL1 chr11 62104773
15386 AHNAK chr11 62314332
15387 ZBTB3 chr11 62521656
15388 SLC3A2 chr11 62623483
15389 SLC22A9 chr11 63137260
15390 RARRES3 chr11 63304272
15391 ATL3 chr11 63439202
15392 MACROD1 chr11 63933585
15393 NRXN2 chr11 64490660
15394 TM7SF2 chr11 64879325
15395 SLC25A45 chr11 65149857
15396 MALAT1 chr11 65265208
15397 TALAM1 chr11 65274903
15398 FOSL1 chr11 65667997
15399 PACS1 chr11 65837823
15400 NPAS4 chr11 66188474
15401 ACTN3 chr11 66313865
15402 SPTBN2 chr11 66488870
15403 C11orf80 chr11 66512206
15404 PC chr11 66725847
15405 KDM2A chr11 66886739
15406 C11orf72 chr11 67374177
15407 UNC93B1 chr11 67771595
15408 PPP6R3 chr11 68228185
15409 CPT1A chr11 68609399
15410 IGHMBP2 chr11 68671318
15411 CCND1 chr11 69455872
15412 ANO1 chr11 69924407
15413 PPFIA1 chr11 70116805
15414 SHANK2 chr11 70507945
15415 NADSYN1 chr11 71164216
15416 RNF121 chr11 71639767
15417 CLPB chr11 72145728
15418 STARD10 chr11 72504750
15419 FCHSD2 chr11 72853143
15420 P2RY6 chr11 72975549
15421 FAM168A chr11 73309234
15422 MRPL48 chr11 73498916
15423 DNAJB13 chr11 73661363
15424 C2CD3 chr11 73882064
15425 PPME1 chr11 73882107
15426 PGM2L1 chr11 74109510
15427 POLD3 chr11 74303574
15428 XRRA1 chr11 74660232
15429 NEU3 chr11 74699949
15430 ARRB1 chr11 75062875
15431 GDPD5 chr11 75236599
15432 MAP6 chr11 75379479
15433 UVRAG chr11 75526211
15434 GUCY2EP chr11 76432833
15435 ACER3 chr11 76571916
15436 CAPN5 chr11 76777991
15437 GDPD4 chr11 76998463
15438 PAK1 chr11 77185108
15439 CLNS1A chr11 77348851
15440 RSF1 chr11 77531880
15441 KCTD21-AS1 chr11 77850838
15442 GAB2 chr11 78052926
15443 NARS2 chr11 78285909
15444 LOC101928896 chr11 78244221
15445 FAM181B chr11 82444906
15446 PRCP chr11 82611645
15447 RAB30 chr11 82745611
15448 SYTL2 chr11 85469112
15449 CCDC83 chr11 85566143
15450 PICALM chr11 85780139
15451 CCDC81 chr11 86085777
15452 ME3 chr11 86383240
15453 PRSS23 chr11 86502100
15454 GRM5 chr11 88781240
15455 TYR chr11 88911039
15456 NAALAD2 chr11 89867817
15457 SLC36A4 chr11 92930621
15458 CEP295 chr11 93394815
15459 AMOTL1 chr11 94501507
15460 CEP57 chr11 95523624
15461 MAML2 chr11 96076344
15462 JRKL-AS1 chr11 96240040
15463 PGR chr11 100999794
15464 TRPC6 chr11 101454659
15465 CEP126 chr11 101785745
15466 BIRC2 chr11 102217912
15467 LOC102723838 chr11 102337985
15468 DYNC2H1 chr11 102980159
15469 LOC102723895 chr11 104480030
15470 GRIA4 chr11 105480799
15471 GUCY1A2 chr11 106889171
15472 CWF19L2 chr11 107328572
15473 ELMOD1 chr11 107461816
15474 ATM chr11 108093558
15475 C11orf65 chr11 108338258
15476 EXPH5 chr11 108408934
15477 DDX10 chr11 108535751
15478 ZC3H12C chr11 109964086
15479 LOC105369486 chr11 110225838
15480 ARHGAP20 chr11 110582773
15481 LAYN chr11 111411004
15482 SIK2 chr11 111473114
15483 ALG9 chr11 111742004
15484 DIXDC1 chr11 111797867
15485 PIH1D2 chr11 111944895
15486 BCO2 chr11 112046207
15487 NCAM1 chr11 112831968
15488 ZW10 chr11 113644485
15489 ZBTB16 chr11 113930430
15490 NXPE1 chr11 114430617
15491 NXPE2 chr11 114549199
15492 LOC101929011 chr11 116510138
15493 ZPR1 chr11 116658754
15494 SIK3 chr11 116969131
15495 PAFAH1B2 chr11 117014999
15496 BACE1 chr11 117186972
15497 FXYD6-FXYD2 chr11 117747746
15498 TMPRSS4 chr11 117947726
15499 KMT2A chr11 118307204
15500 DDX6 chr11 118661657
15501 CCDC84 chr11 118868842
15502 CBL chr11 119076985
15503 USP2-AS1 chr11 119252487
15504 ARHGEF12 chr11 120207617
15505 TECTA chr11 120973374
15506 SORL1 chr11 121322911
15507 MIR100HG chr11 122051340
15508 C11orf63 chr11 122753235
15509 CLMP chr11 123066013
15510 GRAMD1B chr11 123380586
15511 ZNF202 chr11 123601693
15512 VWA5A chr11 123986110
15513 SIAE chr11 124543777
15514 MSANTD2 chr11 124670300
15515 PKNOX2 chr11 125034558
15516 FAM118B chr11 126081618
15517 ST3GAL4-AS1 chr11 126225482
15518 KIRREL3 chr11 126870766
15519 ETS1 chr11 128457453
15520 FLI1 chr11 128556429
15521 KCNJ1 chr11 128737268
15522 NFRKB chr11 129762904
15523 ZBTB44 chr11 130184607
15524 ADAMTS8 chr11 130298888
15525 C11orf44 chr11 130542850
15526 IGSF9B chr11 133826649
15527 JAM3 chr11 133938819
15528 NCAPD3 chr11 134094426
15529 LOC283177 chr11 134306375
15530 SCGB1C1 chr11 193079
15531 ODF3 chr11 196760
15532 BET1L chr11 207422
15533 RIC8A chr11 207510
15534 MIR6743 chr11 209335
15535 SIRT3 chr11 236362
15536 PSMD13 chr11 236807
15537 NLRP6 chr11 278569
15538 PGGHG chr11 289137
15539 IFITM5 chr11 299526
15540 IFITM2 chr11 308106
15541 IFITM1 chr11 313990
15542 IFITM3 chr11 320914
15543 B4GALNT4 chr11 369794
15544 SIGIRR chr11 414999
15545 ANO9 chr11 442011
15546 PTDSS2 chr11 448267
15547 RNH1 chr11 506821
15548 HRAS chr11 535567
15549 LRRC56 chr11 537521
15550 LMNTD2 chr11 560779
15551 RASSF7 chr11 560970
15552 MIR210HG chr11 568457
15553 MIR210 chr11 568198
15554 LOC143666 chr11 575885
15555 PHRF1 chr11 576445
15556 IRF7 chr11 615728
15557 CDHR5 chr11 625067
15558 SCT chr11 627240
15559 DRD4 chr11 637304
15560 TMEM80 chr11 695590
15561 EPS8L2 chr11 706119
15562 TALDO1 chr11 747431
15563 PDDC1 chr11 777502
15564 LOC171391 chr11 777577
15565 CEND1 chr11 790126
15566 SLC25A22 chr11 796263
15567 PANO1 chr11 797510
15568 PIDD1 chr11 805250
15569 RPLP2 chr11 809935
15570 SNORA52 chr11 811680
15571 PNPLA2 chr11 818900
15572 CRACR2B chr11 828259
15573 CD151 chr11 832951
15574 POLR2L chr11 842529
15575 TSPAN4 chr11 842823
15576 CHID1 chr11 910874
15577 AP2A2 chr11 925808
15578 MUC6 chr11 1036706
15579 LOC101927503 chr11 1049777
15580 MUC2 chr11 1074874
15581 MUC5B chr11 1244294
15582 MIR6744 chr11 1277834
15583 TOLLIP-AS1 chr11 1330937
15584 MOB2 chr11 1502116
15585 DUSP8 chr11 1593150
15586 KRTAP5-AS1 chr11 1593970
15587 KRTAP5-1 chr11 1606513
15588 KRTAP5-2 chr11 1619524
15589 KRTAP5-3 chr11 1629693
15590 KRTAP5-5 chr11 1651032
15591 FAM99A chr11 1686828
15592 FAM99B chr11 1706859
15593 KRTAP5-6 chr11 1718424
15594 IFITM10 chr11 1771824
15595 CTSD chr11 1785222
15596 SYT8 chr11 1855539
15597 TNNI2 chr11 1860232
15598 LSP1 chr11 1874199
15599 MIR4298 chr11 1880766
15600 MIR7847 chr11 1901274
15601 LINC01150 chr11 1917988
15602 TNNT3 chr11 1940798
15603 MRPL23 chr11 1968501
15604 SNORD131 chr11 1970560
15605 MRPL23-AS1 chr11 2011150
15606 LINC01219 chr11 2012325
15607 HOTS chr11 2013637
15608 H19 chr11 2019105
15609 MIR675 chr11 2018061
15610 IGF2 chr11 2158518
15611 INS-IGF2 chr11 2182439
15612 MIR483 chr11 2155439
15613 IGF2-AS chr11 2161741
15614 INS chr11 2182439
15615 TH chr11 2193035
15616 MIR4686 chr11 2194292
15617 ASCL2 chr11 2292182
15618 C11orf21 chr11 2323143
15619 TSPAN32 chr11 2323242
15620 CD81 chr11 2397406
15621 TSSC4 chr11 2421717
15622 TRPM5 chr11 2444275
15623 KCNQ1OT1 chr11 2721228
15624 KCNQ1-AS1 chr11 2882799
15625 KCNQ1DN chr11 2891262
15626 CDKN1C chr11 2906995
15627 SLC22A18AS chr11 2925175
15628 SLC22A18 chr11 2920950
15629 PHLDA2 chr11 2950650
15630 NAP1L4 chr11 3013607
15631 SNORA54 chr11 2985123
15632 CARS chr11 3078681
15633 MRGPRG chr11 3240043
15634 MRGPRG-AS1 chr11 3239561
15635 MRGPRE chr11 3253616
15636 ZNF195 chr11 3400452
15637 OR7E12P chr11 3413145
15638 TRPC2 chr11 3647689
15639 ART5 chr11 3663546
15640 CHRNA10 chr11 3692614
15641 PGAP2 chr11 3818953
15642 RHOG chr11 3862213
15643 MIR4687 chr11 3877291
15644 RRM1 chr11 4115914
15645 LOC100506082 chr11 4208381
15646 OR52B4 chr11 4389616
15647 TRIM21 chr11 4414926
15648 OR52K2 chr11 4470524
15649 OR52K1 chr11 4510108
15650 OR52M1 chr11 4566420
15651 C11orf40 chr11 4599050
15652 OR52I2 chr11 4608020
15653 OR52I1 chr11 4615268
15654 TRIM68 chr11 4629489
15655 OR51D1 chr11 4660944
15656 OR51E1 chr11 4665155
15657 OR51F1 chr11 4791147
15658 OR52R1 chr11 4825610
15659 OR51F2 chr11 4842615
15660 OR51S1 chr11 4870438
15661 OR51T1 chr11 4903048
15662 OR51A7 chr11 4928599
15663 OR51G2 chr11 4936893
15664 OR51G1 chr11 4945569
15665 OR51A4 chr11 4968330
15666 OR51A2 chr11 4976943
15667 MMP26 chr11 5009420
15668 OR51L1 chr11 5020212
15669 OR52J3 chr11 5067755
15670 OR52E2 chr11 5080857
15671 OR52A5 chr11 5153872
15672 OR52A1 chr11 5173599
15673 OR51V1 chr11 5221930
15674 HBB chr11 5248301
15675 HBD chr11 5255858
15676 HBBP1 chr11 5264822
15677 BGLT3 chr11 5266776
15678 HBG1 chr11 5271087
15679 HBG2 chr11 5276011
15680 HBE1 chr11 5291373
15681 OR51B4 chr11 5323176
15682 OR51B2 chr11 5345582
15683 OR51B6 chr11 5372737
15684 OR51M1 chr11 5410606
15685 OR51Q1 chr11 5443340
15686 OR51I1 chr11 5462783
15687 OR51I2 chr11 5474637
15688 OR52D1 chr11 5509914
15689 UBQLN3 chr11 5531215
15690 UBQLNL chr11 5537956
15691 OLFM5P chr11 5543015
15692 OR52H1 chr11 5566753
15693 OR52B6 chr11 5602106
15694 TRIM6 chr11 5617330
15695 TRIM34 chr11 5641173
15696 TRIM5 chr11 5706339
15697 TRIM22 chr11 5710816
15698 OR56B1 chr11 5757677
15699 OR52N4 chr11 5775922
15700 OR52N5 chr11 5799897
15701 OR52N1 chr11 5810046
15702 OR52N2 chr11 5841565
15703 OR52E6 chr11 5863127
15704 OR52E8 chr11 5878932
15705 OR52E4 chr11 5905522
15706 OR56A3 chr11 5968576
15707 OR56A5 chr11 5989724
15708 OR52L1 chr11 6008215
15709 OR56A4 chr11 6024378
15710 OR56A1 chr11 6048971
15711 OR56B4 chr11 6128913
15712 OR52B2 chr11 6191556
15713 OR52W1 chr11 6220453
15714 C11orf42 chr11 6226797
15715 FAM160A2 chr11 6255941
15716 CNGA4 chr11 6260321
15717 PRKCDBP chr11 6341740
15718 SMPD1 chr11 6411643
15719 HPX chr11 6462254
15720 TRIM3 chr11 6495214
15721 ARFIP2 chr11 6502709
15722 TIMM10B chr11 6502676
15723 RRP8 chr11 6624880
15724 ILK chr11 6624937
15725 TAF10 chr11 6633475
15726 TPP1 chr11 6640692
15727 DCHS1 chr11 6677080
15728 MRPL17 chr11 6704632
15729 GVINP1 chr11 6743110
15730 OR2AG2 chr11 6790188
15731 OR2AG1 chr11 6806247
15732 OR6A2 chr11 6817139
15733 OR10A5 chr11 6866913
15734 OR10A2 chr11 6890985
15735 OR10A4 chr11 6897855
15736 OR2D2 chr11 6913731
15737 OR2D3 chr11 6942232
15738 ZNF215 chr11 6947653
15739 ZNF214 chr11 7041586
15740 RBMXL2 chr11 7110164
15741 MIR302E chr11 7255996
15742 OLFML1 chr11 7506599
15743 CYB5R2 chr11 7694122
15744 OVCH2 chr11 7727941
15745 OR5P2 chr11 7818489
15746 OR5P3 chr11 7847519
15747 OR5E1P chr11 7870597
15748 LOC283299 chr11 7927502
15749 OR10A6 chr11 7950209
15750 OR10A3 chr11 7961067
15751 NLRP10 chr11 7985059
15752 EIF3F chr11 8008866
15753 CASC23 chr11 8038056
15754 TUB-AS1 chr11 8081584
15755 RPL27A chr11 8703994
15756 SNORA3A chr11 8705773
15757 SNORA3B chr11 8706985
15758 LOC102724784 chr11 8790324
15759 AKIP1 chr11 8932700
15760 C11orf16 chr11 8954553
15761 ASCL3 chr11 8964580
15762 TMEM9B chr11 8986320
15763 TMEM9B-AS1 chr11 8986221
15764 NRIP3 chr11 9025596
15765 MIR5691 chr11 9111926
15766 KRT8P41 chr11 9115909
15767 SNORA23 chr11 9450312
15768 LOC644656 chr11 9482245
15769 ZNF143 chr11 9482511
15770 WEE1 chr11 9595227
15771 LOC440028 chr11 9781080
15772 LOC101928008 chr11 9860688
15773 ADM chr11 10326526
15774 MTRNR2L8 chr11 10530723
15775 MIR4485 chr11 10529873
15776 RNF141 chr11 10562774
15777 LYVE1 chr11 10590365
15778 CTR9 chr11 10772533
15779 EIF4G2 chr11 10829543
15780 SNORD97 chr11 10823155
15781 LOC101928053 chr11 10830843
15782 ZBED5-AS1 chr11 10879763
15783 CSNK2A3 chr11 11374904
15784 MIR4299 chr11 11678269
15785 MIR8070 chr11 11804769
15786 DKK3 chr11 12030186
15787 MIR6124 chr11 12185229
15788 LINC00958 chr11 13011095
15789 RASSF10 chr11 13030969
15790 BTBD10 chr11 13461826
15791 PTH chr11 13517567
15792 FAR1 chr11 13690205
15793 LOC101928132 chr11 13946410
15794 RRAS2 chr11 14380031
15795 COPB1 chr11 14521404
15796 CYP2R1 chr11 14913751
15797 CALCA chr11 14993832
15798 CALCB chr11 15095145
15799 LOC102724957 chr11 15665430
15800 MIR6073 chr11 15991167
15801 OR7E14P chr11 17073432
15802 RPS13 chr11 17099220
15803 SNORD14A chr11 17096291
15804 SNORD14B chr11 17097415
15805 LOC105376575 chr11 17353588
15806 NCR3LG1 chr11 17373308
15807 KCNJ11 chr11 17410206
15808 OTOG chr11 17568919
15809 LOC102723330 chr11 17718486
15810 MYOD1 chr11 17741109
15811 KCNC1 chr11 17757494
15812 TPH1 chr11 18062335
15813 SAAL1 chr11 18127638
15814 SAA3P chr11 18137679
15815 MRGPRX3 chr11 18142501
15816 MRGPRX4 chr11 18194383
15817 LOC494141 chr11 18230684
15818 SAA4 chr11 18258384
15819 SAA2-SAA4 chr11 18270221
15820 SAA2 chr11 18270221
15821 SAA1 chr11 18287771
15822 HPS5 chr11 18343721
15823 MIR3159 chr11 18409333
15824 LDHA chr11 18415935
15825 LDHC chr11 18433852
15826 TSG101 chr11 18548503
15827 UEVLD chr11 18601065
15828 SPTY2D1-AS1 chr11 18621350
15829 SPTY2D1 chr11 18656020
15830 TMEM86A chr11 18720281
15831 PTPN5 chr11 18813389
15832 MRGPRX1 chr11 18956549
15833 MRGPRX2 chr11 19081564
15834 ZDHHC13 chr11 19138691
15835 CSRP3 chr11 19232118
15836 E2F8 chr11 19262507
15837 NAV2-AS5 chr11 19528776
15838 NAV2-AS4 chr11 19545625
15839 MIR4486 chr11 19596856
15840 LOC100126784 chr11 19736218
15841 MIR4694 chr11 19781629
15842 NAV2-AS2 chr11 20070849
15843 DBX1 chr11 20181870
15844 HTATIP2 chr11 20385230
15845 SLC6A5 chr11 20620945
15846 SLC17A6 chr11 22359666
15847 LINC01495 chr11 22513565
15848 FANCF chr11 22647387
15849 SVIP chr11 22850925
15850 CCDC179 chr11 22881972
15851 MIR8054 chr11 23440736
15852 LOC105376599 chr11 26309554
15853 MUC15 chr11 26593815
15854 FIBIN chr11 27015627
15855 CCDC34 chr11 27384795
15856 LOC105376671 chr11 27493277
15857 MIR8087 chr11 27536594
15858 LINC00678 chr11 27656174
15859 BDNF chr11 27681196
15860 MIR610 chr11 28078361
15861 MIR8068 chr11 28499095
15862 LINC01616 chr11 30003940
15863 KCNA4 chr11 30038577
15864 FSHB chr11 30252562
15865 ARL14EP chr11 30344645
15866 DNAJC24 chr11 31391376
15867 PAX6 chr11 31825785
15868 LOC100506675 chr11 32062864
15869 SNORA88 chr11 32165458
15870 WT1 chr11 32452363
15871 WT1-AS chr11 32457063
15872 EIF3M chr11 32605312
15873 PRRG4 chr11 32851480
15874 QSER1 chr11 32914723
15875 DEPDC7 chr11 33037409
15876 TCP11L1 chr11 33060962
15877 LINC00294 chr11 33097695
15878 CSTF3-AS1 chr11 33183202
15879 C11orf91 chr11 33722286
15880 CD59 chr11 33744273
15881 FBXO3 chr11 33796071
15882 FBXO3-AS1 chr11 33796244
15883 LMO2 chr11 33891371
15884 NAT10 chr11 34127110
15885 ELF5 chr11 34533346
15886 EHF chr11 34642587
15887 APIP chr11 34937958
15888 MIR1343 chr11 34963383
15889 LOC100507144 chr11 35159579
15890 CD44 chr11 35160416
15891 FJX1 chr11 35639734
15892 MIR3973 chr11 36031647
15893 LOC101928510 chr11 36099451
15894 TRAF6 chr11 36531863
15895 RAG1 chr11 36589562
15896 RAG2 chr11 36619829
15897 C11orf74 chr11 36616042
15898 LOC105376633 chr11 37960150
15899 LINC01493 chr11 38670407
15900 LOC100507205 chr11 42275240
15901 HNRNPKP3 chr11 43290919
15902 API5 chr11 43333504
15903 MIR670 chr11 43581205
15904 MIR670HG chr11 43590855
15905 MIR129-2 chr11 43602943
15906 SEC14L1P1 chr11 43918852
15907 ALKBH3-AS1 chr11 43942494
15908 C11orf96 chr11 43964105
15909 ACCSL chr11 44069530
15910 ACCS chr11 44087728
15911 CD82 chr11 44587140
15912 LOC221122 chr11 44995452
15913 SYT13 chr11 45307884
15914 LOC101928812 chr11 45376921
15915 LOC399886 chr11 45392947
15916 CHST1 chr11 45687206
15917 MIR7154 chr11 45713326
15918 DKFZp779M0652 chr11 45792982
15919 SLC35C1 chr11 45825622
15920 MAPK8IP1 chr11 45907046
15921 C11orf94 chr11 45928833
15922 PEX16 chr11 45939674
15923 LARGE2 chr11 45943171
15924 LOC101928894 chr11 46193505
15925 CREB3L1 chr11 46299188
15926 MIR4688 chr11 46397951
15927 MDK chr11 46402333
15928 CHRM4 chr11 46408158
15929 MIR3160-1 chr11 46473439
15930 MIR3160-2 chr11 46473356
15931 HARBI1 chr11 46638777
15932 ARHGAP1 chr11 46722215
15933 ZNF408 chr11 46722316
15934 F2 chr11 46740715
15935 MIR5582 chr11 46774742
15936 SNORD67 chr11 46784049
15937 LRP4-AS1 chr11 46867961
15938 PACSIN3 chr11 47207432
15939 MIR6745 chr11 47201288
15940 DDB2 chr11 47236492
15941 ACP2 chr11 47270179
15942 NR1H3 chr11 47269850
15943 LOC101928943 chr11 47293626
15944 MYBPC3 chr11 47374253
15945 SPI1 chr11 47400127
15946 MIR4487 chr11 47422520
15947 SLC39A13 chr11 47428826
15948 PSMC3 chr11 47448024
15949 RAPSN chr11 47470730
15950 CELF1 chr11 47546266
15951 PTPMT1 chr11 47586981
15952 KBTBD4 chr11 47600323
15953 NDUFS3 chr11 47600561
15954 FAM180B chr11 47608229
15955 C1QTNF4 chr11 47615961
15956 MTCH2 chr11 47664206
15957 FNBP4 chr11 47789030
15958 MIR3161 chr11 48118333
